r_mm,mirror_before_um,mirror_after_um
1.29,271.19999999999993,274.3999999999999
1.292,271.19999999999993,274.3999999999999
1.294,271.19999999999993,274.3999999999999
1.296,271.19999999999993,274.3999999999999
1.298,271.19999999999993,274.3999999999999
1.3,271.19999999999993,274.3999999999999
1.302,271.19999999999993,274.3999999999999
1.304,271.19999999999993,274.3999999999999
1.306,271.19999999999993,274.3999999999999
1.308,271.19999999999993,274.3999999999999
1.31,271.19999999999993,274.3999999999999
1.312,271.19999999999993,274.3999999999999
1.314,271.19999999999993,274.3999999999999
1.316,271.19999999999993,274.3999999999999
1.318,271.19999999999993,274.3999999999999
1.32,271.19999999999993,274.3999999999999
1.322,271.19999999999993,274.3999999999999
1.324,271.19999999999993,274.3999999999999
1.326,271.19999999999993,274.3999999999999
1.328,271.19999999999993,274.3999999999999
1.33,271.19999999999993,274.3999999999999
1.332,271.19999999999993,274.3999999999999
1.334,271.19999999999993,274.3999999999999
1.336,271.19999999999993,274.3999999999999
1.338,271.19999999999993,274.3999999999999
1.34,271.19999999999993,274.3999999999999
